id,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers
0,e41bafc04e2315a7c0e49ba9a16e8ab9,basketball_nba,NBA,2021-12-26T03:43:08Z,Utah Jazz,Dallas Mavericks,"[{'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:26:04Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 540}, {'name': 'Utah Jazz', 'price': -588}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 640}, {'name': 'Utah Jazz', 'price': -556}]}]}, {'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2021-12-26T04:26:11Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 460}, {'name': 'Utah Jazz', 'price': -710}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -122, 'point': 10.5}, {'name': 'Utah Jazz', 'price': -104, 'point': -10.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -111, 'point': 219.5}, {'name': 'Under', 'price': -115, 'point': 219.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2021-12-26T04:26:20Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 425}, {'name': 'Utah Jazz', 'price': -675}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 100, 'point': 8.5}, {'name': 'Utah Jazz', 'price': -130, 'point': -8.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 220.5}, {'name': 'Under', 'price': -115, 'point': 220.5}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2021-12-26T04:26:09Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 450}, {'name': 'Utah Jazz', 'price': -750}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -110, 'point': 8.5}, {'name': 'Utah Jazz', 'price': -120, 'point': -8.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 219.5}, {'name': 'Under', 'price': -115, 'point': 219.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2021-12-26T04:25:54Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 450}, {'name': 'Utah Jazz', 'price': -650}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -115, 'point': 9.5}, {'name': 'Utah Jazz', 'price': -110, 'point': -9.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -110, 'point': 219.5}, {'name': 'Under', 'price': -115, 'point': 219.5}]}]}, {'key': 'twinspires', 'title': 'TwinSpires', 'last_update': '2021-12-26T04:25:41Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 450}, {'name': 'Utah Jazz', 'price': -670}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -115, 'point': 10.0}, {'name': 'Utah Jazz', 'price': -110, 'point': -10.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 221.5}, {'name': 'Under', 'price': -110, 'point': 221.5}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:26:10Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 475}, {'name': 'Utah Jazz', 'price': -714}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -109, 'point': 10.0}, {'name': 'Utah Jazz', 'price': -116, 'point': -10.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 220.5}, {'name': 'Under', 'price': -111, 'point': 220.5}]}]}, {'key': 'sugarhouse', 'title': 'SugarHouse', 'last_update': '2021-12-26T04:26:07Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 475}, {'name': 'Utah Jazz', 'price': -715}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -109, 'point': 10.0}, {'name': 'Utah Jazz', 'price': -117, 'point': -10.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -112, 'point': 221.5}, {'name': 'Under', 'price': -114, 'point': 221.5}]}]}, {'key': 'barstool', 'title': 'Barstool Sportsbook', 'last_update': '2021-12-26T04:25:47Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 450}, {'name': 'Utah Jazz', 'price': -670}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -115, 'point': 10.0}, {'name': 'Utah Jazz', 'price': -110, 'point': -10.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -112, 'point': 222.5}, {'name': 'Under', 'price': -114, 'point': 222.5}]}]}, {'key': 'foxbet', 'title': 'FOX Bet', 'last_update': '2021-12-26T04:25:59Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 380}, {'name': 'Utah Jazz', 'price': -667}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -105, 'point': 8.5}, {'name': 'Utah Jazz', 'price': -120, 'point': -8.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -118, 'point': 221.5}, {'name': 'Under', 'price': -105, 'point': 221.5}]}]}, {'key': 'pointsbetus', 'title': 'PointsBet (US)', 'last_update': '2021-12-26T04:26:08Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 490}, {'name': 'Utah Jazz', 'price': -691}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -110, 'point': 9.0}, {'name': 'Utah Jazz', 'price': -110, 'point': -9.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -110, 'point': 219.5}, {'name': 'Under', 'price': -110, 'point': 219.5}]}]}, {'key': 'gtbets', 'title': 'GTbets', 'last_update': '2021-12-26T04:26:07Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 469}, {'name': 'Utah Jazz', 'price': -764}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -108, 'point': 8.5}, {'name': 'Utah Jazz', 'price': -118, 'point': -8.5}]}]}, {'key': 'williamhill_us', 'title': 'William Hill (US)', 'last_update': '2021-12-26T04:26:14Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 400}, {'name': 'Utah Jazz', 'price': -550}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 221.5}, {'name': 'Under', 'price': -115, 'point': 221.5}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2021-12-26T04:25:56Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Dallas Mavericks', 'price': 700}, {'name': 'Utah Jazz', 'price': -1200}]}, {'key': 'spreads', 'outcomes': [{'name': 'Dallas Mavericks', 'price': -110, 'point': 13.5}, {'name': 'Utah Jazz', 'price': -110, 'point': -13.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -110, 'point': 214.0}, {'name': 'Under', 'price': -110, 'point': 214.0}]}]}]"
1,c6b7f395aabd408d0cbd0c4522f1ea8e,cricket_big_bash,Big Bash,2021-12-26T07:05:00Z,Sydney Thunder,Sydney Sixers,"[{'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:25:42Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Sydney Sixers', 'price': -130}, {'name': 'Sydney Thunder', 'price': 128}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Sydney Sixers', 'price': -128}, {'name': 'Sydney Thunder', 'price': 130}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:23:21Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Sydney Sixers', 'price': -154}, {'name': 'Sydney Thunder', 'price': 125}]}]}]"
2,9eb609f04dc132fce9087f67553f5318,cricket_test_match,Test Matches,2021-12-26T08:00:00Z,South Africa,India,"[{'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:25:03Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'India', 'price': 176}, {'name': 'South Africa', 'price': 235}, {'name': 'Draw', 'price': 184}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'India', 'price': 178}, {'name': 'South Africa', 'price': 250}, {'name': 'Draw', 'price': 194}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:25:00Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'India', 'price': 170}, {'name': 'South Africa', 'price': 260}, {'name': 'Draw', 'price': 145}]}]}, {'key': 'barstool', 'title': 'Barstool Sportsbook', 'last_update': '2021-12-26T04:26:03Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'India', 'price': 170}, {'name': 'South Africa', 'price': 260}, {'name': 'Draw', 'price': 145}]}]}]"
3,47837b9af36730ea879afa0552931885,soccer_australia_aleague,A-League,2021-12-26T08:45:00Z,Macarthur FC,Sydney FC,"[{'key': 'foxbet', 'title': 'FOX Bet', 'last_update': '2021-12-26T04:24:39Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Macarthur FC', 'price': 170}, {'name': 'Sydney FC', 'price': 125}, {'name': 'Draw', 'price': 210}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2021-12-26T04:26:23Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Macarthur FC', 'price': 205}, {'name': 'Sydney FC', 'price': 117}, {'name': 'Draw', 'price': 221}]}, {'key': 'spreads', 'outcomes': [{'name': 'Macarthur FC', 'price': -158, 'point': 0.5}, {'name': 'Sydney FC', 'price': 115, 'point': -0.5}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -111, 'point': 2.5}, {'name': 'Under', 'price': -123, 'point': 2.5}]}]}, {'key': 'intertops', 'title': 'Intertops', 'last_update': '2021-12-26T04:22:40Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Macarthur FC', 'price': 180}, {'name': 'Sydney FC', 'price': 130}, {'name': 'Draw', 'price': 220}]}]}, {'key': 'gtbets', 'title': 'GTbets', 'last_update': '2021-12-26T04:25:34Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Macarthur FC', 'price': 193}, {'name': 'Sydney FC', 'price': 140}, {'name': 'Draw', 'price': 230}]}, {'key': 'spreads', 'outcomes': [{'name': 'Macarthur FC', 'price': -577, 'point': 1.5}, {'name': 'Sydney FC', 'price': 382, 'point': -1.5}]}]}, {'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:26:19Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Macarthur FC', 'price': 200}, {'name': 'Sydney FC', 'price': 154}, {'name': 'Draw', 'price': 250}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Macarthur FC', 'price': 210}, {'name': 'Sydney FC', 'price': 158}, {'name': 'Draw', 'price': 260}]}]}]"
4,288a3d58d3c7015611ff8e2edd56dc44,soccer_australia_aleague,A-League,2021-12-26T08:45:00Z,Melbourne Victory,Western United FC,"[{'key': 'foxbet', 'title': 'FOX Bet', 'last_update': '2021-12-26T04:24:39Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Melbourne Victory', 'price': 100}, {'name': 'Western United FC', 'price': 210}, {'name': 'Draw', 'price': 210}]}]}, {'key': 'intertops', 'title': 'Intertops', 'last_update': '2021-12-26T04:22:40Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Melbourne Victory', 'price': 110}, {'name': 'Western United FC', 'price': 215}, {'name': 'Draw', 'price': 230}]}]}, {'key': 'gtbets', 'title': 'GTbets', 'last_update': '2021-12-26T04:25:34Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Melbourne Victory', 'price': 116}, {'name': 'Western United FC', 'price': 229}, {'name': 'Draw', 'price': 242}]}, {'key': 'spreads', 'outcomes': [{'name': 'Melbourne Victory', 'price': 300, 'point': -1.5}, {'name': 'Western United FC', 'price': -426, 'point': 1.5}]}]}, {'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:26:19Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Melbourne Victory', 'price': 128}, {'name': 'Western United FC', 'price': 245}, {'name': 'Draw', 'price': 260}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Melbourne Victory', 'price': 132}, {'name': 'Western United FC', 'price': 255}, {'name': 'Draw', 'price': 270}]}]}]"
5,bbb226d6f902b94db836c33ce3eec107,soccer_china_superleague,Super League - China,2021-12-26T10:00:00Z,Changchun Yatai,Guangzhou R&F FC,"[{'key': 'gtbets', 'title': 'GTbets', 'last_update': '2021-12-26T04:22:38Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -119}, {'name': 'Guangzhou R&F FC', 'price': 315}, {'name': 'Draw', 'price': 264}]}, {'key': 'spreads', 'outcomes': [{'name': 'Changchun Yatai', 'price': 233, 'point': -1.5}, {'name': 'Guangzhou R&F FC', 'price': -317, 'point': 1.5}]}]}, {'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:22:38Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -114}, {'name': 'Guangzhou R&F FC', 'price': 350}, {'name': 'Draw', 'price': 270}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Changchun Yatai', 'price': -108}, {'name': 'Guangzhou R&F FC', 'price': 380}, {'name': 'Draw', 'price': 295}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2021-12-26T04:22:22Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -115}, {'name': 'Guangzhou R&F FC', 'price': 310}, {'name': 'Draw', 'price': 260}]}]}, {'key': 'williamhill_us', 'title': 'William Hill (US)', 'last_update': '2021-12-26T04:22:22Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -114}, {'name': 'Guangzhou R&F FC', 'price': 320}, {'name': 'Draw', 'price': 245}]}]}, {'key': 'barstool', 'title': 'Barstool Sportsbook', 'last_update': '2021-12-26T04:21:46Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -118}, {'name': 'Guangzhou R&F FC', 'price': 315}, {'name': 'Draw', 'price': 240}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 2.5}, {'name': 'Under', 'price': -114, 'point': 2.5}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:25:19Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -118}, {'name': 'Guangzhou R&F FC', 'price': 315}, {'name': 'Draw', 'price': 240}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 2.5}, {'name': 'Under', 'price': -114, 'point': 2.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2021-12-26T04:25:23Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -118}, {'name': 'Guangzhou R&F FC', 'price': 315}, {'name': 'Draw', 'price': 240}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -115, 'point': 2.5}, {'name': 'Under', 'price': -114, 'point': 2.5}]}]}, {'key': 'intertops', 'title': 'Intertops', 'last_update': '2021-12-26T04:21:40Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Changchun Yatai', 'price': -125}, {'name': 'Guangzhou R&F FC', 'price': 310}, {'name': 'Draw', 'price': 230}]}]}]"
6,f54b72983524a79aa7e5b7d253e0f680,soccer_china_superleague,Super League - China,2021-12-26T10:00:00Z,Shanghai SIPG FC,Shenzhen FC,"[{'key': 'gtbets', 'title': 'GTbets', 'last_update': '2021-12-26T04:22:38Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -128}, {'name': 'Shenzhen FC', 'price': 335}, {'name': 'Draw', 'price': 274}]}, {'key': 'spreads', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': 211, 'point': -1.5}, {'name': 'Shenzhen FC', 'price': -282, 'point': 1.5}]}]}, {'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:22:38Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -120}, {'name': 'Shenzhen FC', 'price': 370}, {'name': 'Draw', 'price': 280}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -112}, {'name': 'Shenzhen FC', 'price': 400}, {'name': 'Draw', 'price': 310}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2021-12-26T04:22:22Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -125}, {'name': 'Shenzhen FC', 'price': 320}, {'name': 'Draw', 'price': 275}]}]}, {'key': 'williamhill_us', 'title': 'William Hill (US)', 'last_update': '2021-12-26T04:22:22Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -122}, {'name': 'Shenzhen FC', 'price': 330}, {'name': 'Draw', 'price': 260}]}]}, {'key': 'barstool', 'title': 'Barstool Sportsbook', 'last_update': '2021-12-26T04:21:46Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -122}, {'name': 'Shenzhen FC', 'price': 305}, {'name': 'Draw', 'price': 260}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -112, 'point': 2.5}, {'name': 'Under', 'price': -118, 'point': 2.5}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:25:19Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -122}, {'name': 'Shenzhen FC', 'price': 305}, {'name': 'Draw', 'price': 260}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -111, 'point': 2.5}, {'name': 'Under', 'price': -118, 'point': 2.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2021-12-26T04:25:23Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -122}, {'name': 'Shenzhen FC', 'price': 305}, {'name': 'Draw', 'price': 260}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -112, 'point': 2.5}, {'name': 'Under', 'price': -118, 'point': 2.5}]}]}, {'key': 'intertops', 'title': 'Intertops', 'last_update': '2021-12-26T04:21:40Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Shanghai SIPG FC', 'price': -133}, {'name': 'Shenzhen FC', 'price': 300}, {'name': 'Draw', 'price': 260}]}]}]"
7,20920613ddc0b36d6c965b63d8b7e277,cricket_big_bash,Big Bash,2021-12-26T10:15:00Z,Perth Scorchers,Melbourne Renegades,"[{'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:25:42Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Melbourne Renegades', 'price': 184}, {'name': 'Perth Scorchers', 'price': -189}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Melbourne Renegades', 'price': 192}, {'name': 'Perth Scorchers', 'price': -185}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:23:21Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Melbourne Renegades', 'price': 175}, {'name': 'Perth Scorchers', 'price': -222}]}]}]"
8,7035151023900a58ee35d44c095bce7c,soccer_turkey_super_league,Turkey Super League,2021-12-26T10:30:00Z,Çaykur Rizespor,Gazişehir Gaziantep,"[{'key': 'bovada', 'title': 'Bovada', 'last_update': '2021-12-26T04:24:03Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 160}, {'name': 'Çaykur Rizespor', 'price': 160}, {'name': 'Draw', 'price': 220}]}, {'key': 'spreads', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': -108, 'point': 0.0}, {'name': 'Çaykur Rizespor', 'price': -112, 'point': 0.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': 102, 'point': 2.5}, {'name': 'Under', 'price': -122, 'point': 2.5}]}]}, {'key': 'wynnbet', 'title': 'WynnBET', 'last_update': '2021-12-26T04:23:37Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 165}, {'name': 'Çaykur Rizespor', 'price': 160}, {'name': 'Draw', 'price': 245}]}]}, {'key': 'foxbet', 'title': 'FOX Bet', 'last_update': '2021-12-26T04:26:00Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 160}, {'name': 'Çaykur Rizespor', 'price': 155}, {'name': 'Draw', 'price': 235}]}]}, {'key': 'betfair', 'title': 'Betfair', 'last_update': '2021-12-26T04:25:42Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 176}, {'name': 'Çaykur Rizespor', 'price': 164}, {'name': 'Draw', 'price': 255}]}, {'key': 'h2h_lay', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 180}, {'name': 'Çaykur Rizespor', 'price': 176}, {'name': 'Draw', 'price': 280}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2021-12-26T04:21:45Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 165}, {'name': 'Çaykur Rizespor', 'price': 160}, {'name': 'Draw', 'price': 255}]}, {'key': 'spreads', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': -110, 'point': 0.0}, {'name': 'Çaykur Rizespor', 'price': -120, 'point': 0.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -120, 'point': 2.5}, {'name': 'Under', 'price': -110, 'point': 2.5}]}]}, {'key': 'intertops', 'title': 'Intertops', 'last_update': '2021-12-26T04:24:13Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 155}, {'name': 'Çaykur Rizespor', 'price': 150}, {'name': 'Draw', 'price': 230}]}]}, {'key': 'betonlineag', 'title': 'BetOnline.ag', 'last_update': '2021-12-26T04:24:25Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 162}, {'name': 'Çaykur Rizespor', 'price': 152}, {'name': 'Draw', 'price': 230}]}, {'key': 'spreads', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': -108, 'point': -0.0}, {'name': 'Çaykur Rizespor', 'price': -114, 'point': 0.0}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -125, 'point': 2.5}, {'name': 'Under', 'price': 104, 'point': 2.5}]}]}, {'key': 'barstool', 'title': 'Barstool Sportsbook', 'last_update': '2021-12-26T04:24:15Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 150}, {'name': 'Çaykur Rizespor', 'price': 155}, {'name': 'Draw', 'price': 250}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -121, 'point': 2.5}, {'name': 'Under', 'price': -103, 'point': 2.5}]}]}, {'key': 'twinspires', 'title': 'TwinSpires', 'last_update': '2021-12-26T04:24:31Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 150}, {'name': 'Çaykur Rizespor', 'price': 155}, {'name': 'Draw', 'price': 250}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -121, 'point': 2.5}, {'name': 'Under', 'price': -103, 'point': 2.5}]}]}, {'key': 'unibet', 'title': 'Unibet', 'last_update': '2021-12-26T04:24:55Z', 'markets': [{'key': 'h2h', 'outcomes': [{'name': 'Gazişehir Gaziantep', 'price': 150}, {'name': 'Çaykur Rizespor', 'price': 155}, {'name': 'Draw', 'price': 250}]}, {'key': 'totals', 'outcomes': [{'name': 'Over', 'price': -120, 'point': 2.5}, {'name': 'Under', 'price': -102, 'point': 2.5}]}]}]"
